time	V(n002)	V(n005)
0.000000000000000e+00	3.982730e-14	0.000000e+00
6.835937198246267e-12	-1.646601e-09	3.221360e-10
1.367187439649253e-11	-2.181139e-09	6.442719e-10
2.734374879298507e-11	6.472796e-10	1.288544e-09
5.468749758597014e-11	8.564156e-09	2.577088e-09
1.093749951719403e-10	1.743039e-08	5.154175e-09
2.187499903438805e-10	1.348119e-08	1.030835e-08
8.187499638585245e-09	-1.848766e-07	3.858268e-07
1.615624928682661e-08	5.688327e-07	7.613453e-07
2.412499893506798e-08	2.274609e-06	1.136864e-06
3.209374858330934e-08	4.932452e-06	1.512382e-06
4.006249823155071e-08	8.542363e-06	1.887901e-06
4.803124787979207e-08	1.310434e-05	2.263419e-06
5.599999752803342e-08	1.861838e-05	2.638938e-06
1.119999950560668e-07	8.045826e-05	5.277875e-06
2.239999901121337e-07	2.956789e-04	1.055574e-05
4.479999802242673e-07	9.306636e-04	2.111144e-05
8.959999604485347e-07	2.485088e-03	4.222250e-05
4.509281210448533e-06	1.569308e-02	2.129210e-04
8.122562460448532e-06	2.884195e-02	3.828824e-04
1.173584371044853e-05	4.193171e-02	5.521067e-04
1.534912496044853e-05	5.496234e-02	7.205939e-04
1.896240621044853e-05	6.793387e-02	8.883441e-04
2.257568746044853e-05	8.084627e-02	1.055357e-03
2.618896871044852e-05	9.369956e-02	1.221633e-03
3.351318746044853e-05	1.196068e-01	1.556818e-03
4.083740621044855e-05	1.446416e-01	1.880885e-03
4.816162496044857e-05	1.688041e-01	2.193835e-03
5.548584371044859e-05	1.920941e-01	2.495667e-03
6.281006246044861e-05	2.145117e-01	2.786381e-03
7.013428121044862e-05	2.360569e-01	3.065978e-03
7.745849996044863e-05	2.567297e-01	3.334457e-03
8.966553121044873e-05	2.885959e-01	3.748975e-03
1.018725624604489e-04	3.158413e-01	4.104482e-03
1.140795937104490e-04	3.384657e-01	4.400979e-03
1.262866249604491e-04	3.564692e-01	4.638466e-03
1.384936562104492e-04	3.698518e-01	4.816942e-03
1.507006874604493e-04	3.786134e-01	4.936408e-03
1.629077187104494e-04	3.827541e-01	4.996863e-03
1.754077187104495e-04	3.805567e-01	4.976615e-03
1.879077187104495e-04	3.734407e-01	4.892881e-03
2.004077187104496e-04	3.614063e-01	4.745661e-03
2.129077187104497e-04	3.444533e-01	4.534955e-03
2.254077187104498e-04	3.225818e-01	4.260763e-03
2.379077187104499e-04	2.957918e-01	3.923086e-03
2.504077187104499e-04	2.640833e-01	3.521922e-03
2.578295937104497e-04	2.435862e-01	3.261663e-03
2.652514687104495e-04	2.221557e-01	2.988965e-03
2.726733437104492e-04	1.997917e-01	2.703830e-03
2.800952187104490e-04	1.764944e-01	2.406256e-03
2.875170937104487e-04	1.522637e-01	2.096244e-03
2.949389687104486e-04	1.270996e-01	1.773793e-03
3.023608437104483e-04	1.010022e-01	1.438904e-03
3.060717812104482e-04	8.786230e-02	1.270057e-03
3.097827187104481e-04	7.465291e-02	1.100180e-03
3.134936562104479e-04	6.137400e-02	9.292727e-04
3.172045937104479e-04	4.802559e-02	7.573350e-04
3.209155312104477e-04	3.460766e-02	5.843671e-04
3.246264687104476e-04	2.112021e-02	4.103689e-04
3.283374062104475e-04	7.563252e-03	2.353405e-04
3.351733437104473e-04	-1.735258e-02	-8.670410e-05
3.398608437104471e-04	-3.448876e-02	-3.084713e-04
3.445483437104470e-04	-5.147959e-02	-5.285725e-04
3.492358437104469e-04	-6.832510e-02	-7.470075e-04
3.539233437104467e-04	-8.502528e-02	-9.637763e-04
3.586108437104465e-04	-1.015801e-01	-1.178879e-03
3.632983437104464e-04	-1.179896e-01	-1.392316e-03
3.679858437104463e-04	-1.342538e-01	-1.604086e-03
3.763842812104460e-04	-1.629754e-01	-1.978719e-03
3.847827187104458e-04	-1.902973e-01	-2.335699e-03
3.931811562104455e-04	-2.162196e-01	-2.675027e-03
4.015795937104452e-04	-2.407423e-01	-2.996702e-03
4.099780312104450e-04	-2.638654e-01	-3.300726e-03
4.183764687104447e-04	-2.855888e-01	-3.587097e-03
4.267749062104445e-04	-3.059126e-01	-3.855815e-03
4.479663124604448e-04	-3.481350e-01	-4.418576e-03
4.691577187104451e-04	-3.757647e-01	-4.791022e-03
4.903491249604455e-04	-3.888015e-01	-4.973152e-03
5.115405312104459e-04	-3.872457e-01	-4.964966e-03
5.327319374604461e-04	-3.710970e-01	-4.766465e-03
5.539233437104465e-04	-3.403556e-01	-4.377648e-03
5.751147499604468e-04	-2.950214e-01	-3.798516e-03
5.832202187104472e-04	-2.744886e-01	-3.534820e-03
5.913256874604476e-04	-2.527135e-01	-3.254868e-03
5.994311562104480e-04	-2.296963e-01	-2.958660e-03
6.075366249604483e-04	-2.054368e-01	-2.646198e-03
6.156420937104487e-04	-1.799350e-01	-2.317479e-03
6.237475624604491e-04	-1.531910e-01	-1.972505e-03
6.318530312104495e-04	-1.252048e-01	-1.611276e-03
