time	V(n002)	V(n005)
0.000000000000000e+00	3.982730e-14	0.000000e+00
6.835937198246267e-12	-1.785272e-09	8.053399e-09
1.367187439649253e-11	-2.419929e-09	1.610680e-08
2.734374879298507e-11	-1.347848e-09	3.221360e-08
5.468749758597014e-11	9.044706e-09	6.442719e-08
1.093749951719403e-10	4.725736e-08	1.288544e-07
4.374999806877611e-10	2.503852e-07	5.154175e-07
1.749999922751044e-09	4.276084e-07	2.061670e-06
3.499999845502089e-09	-1.199774e-07	4.123340e-06
6.999999691004177e-09	-6.582646e-07	8.246680e-06
1.399999938200835e-08	8.398092e-06	1.649336e-05
2.799999876401671e-08	7.369578e-05	3.298672e-05
5.599999752803342e-08	3.287889e-04	6.597344e-05
1.119999950560668e-07	1.014855e-03	1.319469e-04
3.153687490112133e-06	4.089865e-02	3.722130e-03
6.195374985168199e-06	8.064863e-02	7.301926e-03
9.237062480224265e-06	1.202648e-01	1.087133e-02
1.227874997528033e-05	1.597471e-01	1.443036e-02
1.532043747033640e-05	1.990956e-01	1.797899e-02
1.836212496539246e-05	2.383103e-01	2.151724e-02
2.140381246044852e-05	2.773911e-01	2.504510e-02
2.833740621044853e-05	3.662076e-01	3.306876e-02
3.527099996044854e-05	4.524581e-01	4.087080e-02
4.220459371044854e-05	5.361425e-01	4.845121e-02
4.913818746044855e-05	6.172608e-01	5.580999e-02
5.607178121044856e-05	6.958130e-01	6.294714e-02
6.300537496044857e-05	7.717991e-01	6.986266e-02
6.993896871044856e-05	8.452191e-01	7.655656e-02
8.087646871044866e-05	9.540238e-01	8.650902e-02
9.181396871044875e-05	1.050199e+00	9.534364e-02
1.027514687104489e-04	1.133745e+00	1.030604e-01
1.136889687104490e-04	1.204661e+00	1.096594e-01
1.246264687104491e-04	1.262948e+00	1.151405e-01
1.355639687104492e-04	1.308605e+00	1.195038e-01
1.465014687104492e-04	1.341633e+00	1.227493e-01
1.598803749604493e-04	1.358558e+00	1.246250e-01
1.732592812104495e-04	1.354542e+00	1.246112e-01
1.866381874604496e-04	1.329586e+00	1.227077e-01
2.000170937104497e-04	1.283690e+00	1.189148e-01
2.133959999604499e-04	1.216854e+00	1.132323e-01
2.267749062104499e-04	1.129077e+00	1.056602e-01
2.401538124604500e-04	1.020360e+00	9.619855e-02
2.480639687104498e-04	9.482496e-01	8.988379e-02
2.559741249604496e-04	8.718490e-01	8.316952e-02
2.638842812104494e-04	7.911577e-01	7.605572e-02
2.717944374604492e-04	7.061758e-01	6.854241e-02
2.797045937104489e-04	6.169033e-01	6.062957e-02
2.876147499604487e-04	5.233401e-01	5.231722e-02
2.955249062104485e-04	4.254863e-01	4.360535e-02
2.998217812104484e-04	3.716910e-01	3.880658e-02
3.041186562104483e-04	3.174749e-01	3.396425e-02
3.084155312104481e-04	2.628379e-01	2.907834e-02
3.127124062104480e-04	2.077800e-01	2.414886e-02
3.170092812104479e-04	1.523012e-01	1.917581e-02
3.213061562104477e-04	9.640155e-02	1.415919e-02
3.256030312104476e-04	4.008104e-02	9.098993e-03
3.265795937104475e-04	2.731313e-02	7.950947e-03
3.275561562104475e-04	1.454393e-02	6.802470e-03
3.285327187104475e-04	1.773439e-03	5.653564e-03
3.295092812104475e-04	-1.099834e-02	4.504227e-03
3.304858437104474e-04	-2.377141e-02	3.354461e-03
3.314624062104474e-04	-3.654577e-02	2.204263e-03
3.324389687104474e-04	-4.932142e-02	1.053636e-03
3.358569374604473e-04	-9.411508e-02	-2.983166e-03
3.392749062104472e-04	-1.387158e-01	-7.006477e-03
3.426928749604470e-04	-1.831236e-01	-1.101630e-02
3.461108437104469e-04	-2.273384e-01	-1.501263e-02
3.495288124604468e-04	-2.713602e-01	-1.899547e-02
3.529467812104467e-04	-3.151892e-01	-2.296482e-02
